"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.5490343215798e-13,0.525774113465993,0.657,0.509,1.93923606718575e-09,"0","SNRPD2"
1.94944963563611e-13,0.839013261295892,0.306,0.172,2.44051599885284e-09,"0","SPOCK2"
2.11613487312972e-13,0.554155914835816,0.49,0.327,2.64918924767109e-09,"0","PEBP1"
4.75382234383494e-13,0.322080571182785,0.957,0.906,5.95131019224696e-09,"0","BTF3"
1.26420488954394e-12,0.671815648672326,0.459,0.314,1.58265810122006e-08,"0","BTG2"
3.13837349094515e-12,0.733882308796193,0.422,0.278,3.92892977331424e-08,"0","RSL1D1"
3.38836892185729e-12,0.374870524928733,0.715,0.534,4.24189905327315e-08,"0","CXCR4"
4.22605617477932e-12,0.321316151904403,0.678,0.52,5.29059972520624e-08,"0","NAP1L1"
4.70982801987887e-12,0.50856482343377,0.466,0.317,5.89623369808636e-08,"0","FYB"
2.32702010047246e-11,0.525774113465993,0.466,0.326,2.91319646378147e-07,"0","CMPK1"
6.10918847525783e-11,0.363533911394552,0.769,0.634,7.64809305217528e-07,"0","NBEAL1"
8.93712427836424e-11,0.300476692324167,0.89,0.78,1.11883858840842e-06,"0","DDX5"
1.85894693786814e-10,0.494564154077642,0.496,0.356,2.32721567151712e-06,"0","UXT"
2.00516719393454e-10,0.680159858222037,0.253,0.145,2.51026881008665e-06,"0","ANXA2R"
6.96554239763226e-10,0.743527639998921,0.413,0.284,8.72016252759582e-06,"0","CCDC109B"
8.50373925919869e-10,0.556557095762617,0.459,0.331,1.06458311785908e-05,"0","MZT2B"
1.04819260711984e-09,0.782165245669173,0.349,0.239,1.31223232485333e-05,"0","RPL39"
1.48436852145314e-09,0.268616273968869,0.718,0.589,1.85828095200718e-05,"0","EIF3H"
2.95151765182038e-09,0.398317253164138,0.615,0.49,3.69500494831394e-05,"0","RPL41"
1.00220396702809e-08,0.414147752588348,0.419,0.3,0.000125465914632246,"0","CYTIP"
1.88929444383026e-08,0.470632559273532,0.349,0.242,0.00023652077142311,"0","PPP1R2"
1.93438958775205e-08,0.559457239722282,0.394,0.278,0.00024216623249068,"0","STK17A"
