"cluster","ID","Description","GeneRatio","pvalue","p.adjust","Count","geneID"
"3","GO:0022407","regulation of cell-cell adhesion","13/46",2.53413722335822e-06,6.5754192163979e-05,13,"HLA-DOB/HLA-DQB1/HLA-DQA1/HLA-DQA2/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1/CD37"
"3","GO:0002429","immune response-activating cell surface receptor signaling pathway","12/46",4.90267503883811e-06,0.000123949681751138,12,"CD79A/FCER2/MS4A1/CD72/BLK/CD79B/BANK1/HLA-DQB1/MEF2C/HLA-DPB1/HLA-DRB1/PRKCB"
"3","GO:0045785","positive regulation of cell adhesion","12/46",1.28123593189168e-05,0.000313723286895195,12,"HLA-DOB/HLA-DQB1/HLA-DQA1/HLA-DQA2/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1"
"3","GO:0002764","immune response-regulating signaling pathway","14/46",1.30452888059868e-05,0.000313723286895195,14,"CD79A/FCER2/MS4A1/CD72/BLK/CD79B/BANK1/HLA-DQB1/CD40/MEF2C/HLA-DPB1/HLA-DRB1/BIRC3/PRKCB"
"3","GO:0048583","regulation of response to stimulus","29/46",2.24711157427386e-05,0.000527536193389054,29,"CD79A/FCER2/MS4A1/CD72/HLA-DOB/BLK/CD79B/GNG7/P2RX5/BANK1/HLA-DQB1/HLA-DQA1/CD40/HLA-DQA2/MEF2C/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1/CD37/LY86/NCF1/STX7/BIRC3/PRKCB"
"3","GO:0002757","immune response-activating signaling pathway","13/46",2.44937539902377e-05,0.000561647475218008,13,"CD79A/FCER2/MS4A1/CD72/BLK/CD79B/BANK1/HLA-DQB1/MEF2C/HLA-DPB1/HLA-DRB1/BIRC3/PRKCB"
"3","GO:0098609","cell-cell adhesion","14/46",4.43227792029457e-05,0.000983874419001772,14,"HLA-DOB/HLA-DQB1/HLA-DQA1/PDLIM1/HLA-DQA2/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1/CD37"
"3","GO:0042113","B cell activation","9/46",4.4902990725233e-05,0.000983874419001772,9,"CD79A/MS4A1/CD79B/BANK1/CD40/IRF8/MEF2C/CD74/PRKCB"
"3","GO:0002253","activation of immune response","13/46",5.53482374728484e-05,0.00118637743800497,13,"CD79A/FCER2/MS4A1/CD72/BLK/CD79B/BANK1/HLA-DQB1/MEF2C/HLA-DPB1/HLA-DRB1/BIRC3/PRKCB"
"3","GO:0030155","regulation of cell adhesion","13/46",6.564838001832e-05,0.00137721920634178,13,"HLA-DOB/HLA-DQB1/HLA-DQA1/HLA-DQA2/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1/CD37"
"3","GO:0042110","T cell activation","13/46",9.13883857589752e-05,0.00187726975746562,13,"HLA-DOB/HLA-DQB1/HLA-DQA1/HLA-DQA2/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1/CD37"
